id_ville,ville_departement,ville_slug,ville_nom,ville_nom_simple,ville_nom_reel,ville_nom_soundex,ville_nom_metaphone,ville_code_postal,ville_commune,ville_code_commune,ville_arrondissement,ville_canton,ville_amdi,ville_population_2010,ville_population_1999,ville_population_2012,ville_densite_2010,ville_surface,ville_longitude_deg,ville_latitude_deg,ville_longitude_grd,ville_latitude_grd,ville_longitude_dms,ville_latitude_dms,ville_zmin,ville_zmax
32255,79,argenton-les-vallees,ARGENTON-LES-VALLEES,"argenton les vallees",Argenton-les-Vallées,A6253542142,ARJNTNLSFLS,79150,013,79013,1,02,5,1602,1038,1600,55,29.06,-0.45,46.9833,-3096,52205,-02659,465905,74,121
32257,79,prahecq,PRAHECQ,prahecq,Prahecq,P620,PRHKK,79230,216,79216,2,23,5,2069,1650,2000,82,24.95,-0.35,46.25,-2980,51399,-02045,461531,24,78
32258,79,melle-79,MELLE,melle,Mellé,M400,ML,79500,174,79174,2,16,5,3657,3845,3600,374,9.76,-0.133333,46.2167,-2757,51358,-00842,461319,87,174
32260,79,foret-sur-sevre,"LA FORET-SUR-SEVRE","la foret sur sevre","La Forêt-sur-Sèvre",L16326216,LFRTSRSFR,79380,123,79123,1,07,6,2294,2225,2300,41,55.94,-0.65,46.7667,-3318,51967,-03859,464612,147,227
32309,80,doullens,DOULLENS,doullens,Doullens,D452,TLNS,80600,253,80253,2,21,5,6717,6277,6500,201,33.4,2.35,50.15,4,55730,+22025,500924,52,152
32314,80,flixecourt,FLIXECOURT,flixecourt,Flixecourt,F4263,FLKSKRT,80420,318,80318,2,34,6,3255,2986,3200,274,11.84,2.08333,50.0167,-284,55570,+20451,500046,6,105
32381,80,chaulnes,CHAULNES,chaulnes,Chaulnes,C452,XLNS,80320,186,80186,4,15,5,1954,1905,1900,230,8.46,2.8,49.8167,520,55351,+24815,494856,80,104
32411,80,peronne-80,PERONNE,peronne,Péronne,P650,PRN,80200,620,80620,4,33,4,7887,8387,8100,556,14.16,2.93333,49.9333,666,55480,+25611,495556,47,117
32423,80,ault,AULT,ault,Ault,A430,ALT,80460,039,80039,1,11,5,1697,2072,1800,283,5.99,1.45,50.1,-987,55668,+12655,500604,0,107
32425,80,friville-escarbotin,FRIVILLE-ESCARBOTIN,"friville escarbotin",Friville-Escarbotin,F61426135,FRFLSKRBTN,80130,368,80368,1,46,5,4541,4646,4500,512,8.86,1.55,50.0833,-874,55656,+13259,500526,55,112
